Complexity,Loss,Equation
1,0.004299489,"0.60987973"
3,0.0026695433,"f * 0.00072490535"
5,0.0023288894,"1.0350578 - (352.7829 / f)"
7,0.0023230922,"1.0350578 - (352.7829 / (f + alpha_infinity))"
8,0.0022846065,"(1.0446267 - (352.7829 / f)) - sqrt(lambda_var)"
9,0.0019163358,"(alpha_infinity * 0.064448245) + (0.9508056 - (365.5942 / f))"
11,0.0019150878,"(alpha_infinity * 0.06438096) + (0.92365026 - (lambda_var + (342.8974 / f)))"
13,0.0019144079,"(((phi + 0.0112718465) - (349.42065 / f)) + (alpha_infinity * 0.06440296)) + lambda_prime"
14,0.0017729807,"(phi + (alpha_infinity * 0.0878866)) - ((327.75638 / f) + (f * sqrt(k0_prime)))"
16,0.001617927,"(alpha_infinity * ((sqrt(sqrt(k0_prime)) * -7.1923423) + 0.11972967)) + (sqrt(phi) + (-369.11517 / f))"
18,0.0016170092,"((sqrt(phi) + (-369.11517 / f)) - lambda_var) + (alpha_infinity * ((sqrt(sqrt(k0_prime)) * -7.192342) + 0.11979027))"
19,0.001616735,"((((sqrt(sqrt(k0_prime + (k0_prime / 0.41947454))) * -5.3484154) + 0.12390438) * alpha_infinity) + 0.95368767) + (-369.4848 / f)"
20,0.0016161297,"((alpha_infinity * ((sqrt(sqrt(k0_prime)) * -7.1923423) + 0.11972967)) + ((sqrt(phi) + (-369.11517 / f)) - lambda_var)) - lambda_var"
21,0.0014355673,"((((sqrt(lambda_var + sqrt(k0_prime / 0.2229621)) * -5.375337) + 0.14734985) * alpha_infinity) + 0.95256174) + ((alpha_infinity - 369.72705) / f)"
